County,num_accidents
Benewah,38
Meagher,38
Saint Louis City,37
Otoe,37
Vinton,37
Defiance,37
Winchester (City),37
Alpena,37
Uvalde,37
Appling,36
Barron,36
Tyrrell,36
Lake of the Woods,36
Boundary,36
Perquimans,36
Marinette,36
Saint Johns,36
Mountrail,36
San Patricio,35
Pawnee,35
Emporia (City),35
Schuyler,35
Dickinson,35
Addison,35
Doddridge,35
Billings,35
Kalkaska,34
Ralls,34
Gillespie,34
Marengo,34
Pocahontas,34
Early,34
Pamlico,34
Howell,34
Falls,33
Crockett,33
Coryell,33
Jessamine,33
Manassas Park,33
Lagrange,33
Dickey,33
LaMoure,33
Alexandria City,32
Saint Lucie,32
Hopkins,32
Cole,32
Pennington,32
Cooke,32
Sargent,32
Gallia,31
Love,31
Hopewell (City),31
Telfair,31
Choctaw,31
Wilkin,31
Lumpkin,31
Ritchie,31
Andrews,31
Audrain,31
Mclennan,30
Okanogan,30
Saunders,30
Brantley,30
Trousdale,30
Dyer,30
Irwin,30
Goshen,30
Antrim,29
Oceana,29
Garvin,29
Payne,29
Branch,29
Frio,29
Hillsdale,29
East Feliciana,29
Meade,29
Archer,29
Carteret,29
Leake,29
Price,29
Atkinson,29
Nemaha,29
O'Brien,29
La Porte,29
Palo Alto,28
Jo Daviess,28
Ben Hill,28
Bayfield,28
Wabaunsee,28
Emmons,28
Kerr,27
Andrew,27
Chickasaw,27
Neosho,27
Pipestone,27
Clinch,27
Grimes,26
De Witt,26
Iosco,26
Ferry,26
Jenkins,26
Hartley,26
Colonial Heights City,26
Walla Walla,25
Garza,25
St James,25
Carson,25
Montague,25
Lynchburg City,25
Salem (City),25
Ransom,25
Wexford,24
Milam,24
Bacon,24
Iberia,24
Allamakee,24
Burnett,24
Walsh,24
Erath,23
Goliad,23
Pontotoc,23
Thayer,23
Virginia Beach City,23
St. Francois,23
Craig,23
McDonald,23
Vilas,23
Schoolcraft,23
Isle Of Wight,23
Taos,23
Blanco,22
Tuscola,22
Grenada,22
Upshur,22
Waldo,22
Danville,22
Green Lake,22
Leelanau,22
Manistee,21
Mayes,21
Barren,21
Kay,21
Oktibbeha,21
Labette,21
Divide,21
Pratt,21
Schley,20
Muskogee,20
Sequoyah,20
Valencia,20
Rabun,20
Trigg,20
Obion,20
Winneshiek,20
Geary,20
Atchison,20
Zavala,20
Pembina,20
Weakley,19
Natchitoches,19
St. Mary,19
Chowan,19
Gray,19
Harrisonburg City,19
Karnes,19
Petroleum,19
McCone,19
Hood,18
Coshocton,18
Danville (City),18
Calloway,18
Brooke,18
Tom Green,18
Yates,18
Cross,18
Saint Tammany,18
Harlan,18
Castro,17
Caledonia,17
Ida,17
Hardeman,17
Val Verde,17
Presque Isle,17
Tyler,17
Mckean,17
Bear Lake,17
Foster,17
Hodgeman,17
Keokuk,16
Ellsworth,16
McCreary,16
Alcorn,16
Concho,16
Dunklin,16
Tucker,16
Cuming,16
Red Lake,16
Taney,16
Red River,16
Echols,16
Gem,16
Mingo,16
Morrill,16
Little River,16
Lampasas,15
Starr,15
Larue,15
Reno,15
Stephenson,15
Donley,15
Kossuth,15
Finney,15
Beckham,15
Kinney,15
Grand Isle,15
Hardy,15
Nodaway,15
Hettinger,15
Baylor,14
Lamoille,14
Amite,14
Haskell,14
Terry,14
St Landry,14
Towns,14
Houghton,14
Texas,14
Yoakum,14
Menominee,14
Slope,14
Menard,13
Okfuskee,13
Franklin City,13
Moniteau,13
Rich,13
Breathitt,13
Griggs,13
Brule,13
Jersey,12
Guthrie,12
Pickett,12
Staunton City,12
Bourbon,12
Tunica,12
Niobrara,12
Stoddard,12
Bailey,12
Benson,12
Beadle,12
Bracken,11
Hockley,11
St. Bernard,11
Quitman,11
Richardson,11
Coleman,11
Sutton,11
Neshoba,11
Sabine,11
Portsmouth City,11
Falls Church (City),11
Barber,11
Bowman,11
Maries,11
Greenup,10
Edwards,10
Cotton,10
Upton,10
Kleberg,10
Tishomingo,10
Harvey,10
Scotts Bluff,10
Loving,10
Fisher,10
Alcona,10
Wetzel,10
Attala,10
Poquoson,9
Llano,9
Lavaca,9
McDonough,9
Dallam,9
Coahoma,9
Boyle,9
Barton,9
Jim Wells,9
Beauregard,9
Ringgold,9
Plaquemines,9
Fredericksburg City,9
Lemhi,9
Williamsburg (City),9
Harding,9
Charles Mix,9
Manassas City,8
Manassas Park (City),8
Muhlenberg,8
Audubon,8
Lynn,8
Willacy,8
Magoffin,8
Bee,8
Dimmit,8
Asotin,8
Tippah,8
Chase,8
Hinsdale,8
Charlottesville City,8
Metcalfe,8
Maverick,8
Hampton City,8
Wirt,8
Banner,8
Kingman,8
Bottineau,8
Antelope,8
Pittsburg,7
Glasscock,7
Gogebic,7
Assumption,7
Gasconade,7
Cowley,7
Young,7
Avoyelles,7
Danville City,7
Nowata,7
Chesapeake City,7
Garrard,7
Saint Landry,7
Sublette,7
Mcleod,7
Saint Lawrence,7
Covington City,7
Camas,7
Washburn,7
McPherson,7
Pepin,7
Woodruff,7
Fallon,7
Corson,7
Baraga,7
Evangeline,6
Scurry,6
Coffey,6
Runnels,6
Bolivar,6
Martinsville,6
Trego,6
Sawyer,6
Bates,6
Hot Springs,6
Fond Du Lac,6
Caribou,6
Hughes,6
Izard,6
Rolette,6
Norton,6
Hyde,6
Burleson,5
DeWitt,5
Sterling,5
Falls Church City,5
Furnas,5
San Saba,5
Somervell,5
Childress,5
Shackelford,5
Trimble,5
Graves,5
Oscoda,5
Galax,5
West Feliciana,5
Gentry,5
Martinsville City,5
Wolfe,5
Catron,5
King And Queen,5
Carlisle,5
Sharkey,5
Hemphill,5
Norton (City),4
Dukes,4
Live Oak,4
Brookings,4
Leflore,4
Montmorency,4
Prentiss,4
Kewaunee,4
San Augustine,4
Crane,4
Crosby,4
Morehouse,4
Big Stone,4
Walthall,4
Kemper,4
Parmer,4
Merrick,4
Pettis,4
De Baca,4
Switzerland,4
Mcclain,4
Lewis And Clark,4
Coal,4
Dewey,4
Covington (City),4
Saint Marys,4
Estill,4
Woodward,4
Stanton,4
Ochiltree,4
Hansford,4
McCook,4
Lanier,4
Ozark,4
Gladwin,4
Bosque,3
Sanilac,3
McNairy,3
McCurtain,3
Hooker,3
Bandera,3
Ballard,3
Washita,3
Atoka,3
Edmonson,3
Greer,3
Leslie,3
McMullen,3
Concordia,3
St. Helena,3
Cherry,3
Gaines,3
Aurora,3
Mcintosh,3
Saint Bernard,3
Kingfisher,3
Hopewell City,3
Luce,3
Winchester City,3
Red Willow,3
Nance,3
Breckinridge,3
Traverse,3
Oliver,3
Davison,3
Perkins,3
St Mary,2
Brewster,2
Sunflower,2
Alger,2
Dundy,2
Noxubee,2
Lyman,2
Hitchcock,2
Le Flore,2
Refugio,2
Doniphan,2
Galax City,2
Obrien,2
